#r     goo      goh      ghh
12.81 0.9999   0.9996   0.9993
12.84 1.0001   0.9998   0.9993
12.87 1.0002   1.0000   0.9993
12.90 1.0003   1.0001   0.9993
12.93 1.0003   1.0003   0.9994
12.96 1.0005   1.0003   0.9994
12.99 1.0006   1.0004   0.9993
13.02 1.0005   1.0006   0.9995
13.05 1.0007   1.0008   0.9996
13.08 1.0007   1.0008   0.9996
13.11 1.0007   1.0009   0.9996
13.14 1.0008   1.0010   0.9996
13.17 1.0009   1.0010   0.9997
13.20 1.0009   1.0011   0.9998
13.23 1.0010   1.0012   0.9999
13.26 1.0010   1.0013   0.9999
13.29 1.0010   1.0013   1.0000
13.32 1.0010   1.0014   1.0000
13.35 1.0009   1.0014   1.0001
13.38 1.0012   1.0014   1.0001
13.41 1.0011   1.0014   1.0002
13.44 1.0011   1.0014   1.0002
13.47 1.0009   1.0014   1.0003
13.50 1.0009   1.0014   1.0003
13.53 1.0011   1.0013   1.0004
13.56 1.0010   1.0014   1.0004
13.59 1.0010   1.0013   1.0004
13.62 1.0010   1.0013   1.0005
13.65 1.0009   1.0013   1.0004
13.68 1.0010   1.0013   1.0005
13.71 1.0008   1.0012  1.0005
13.74 1.0009   1.0012   1.0006
13.77 1.0008   1.0011   1.0006
13.80 1.0006   1.0011   1.0006
13.83 1.0007   1.0010   1.0006
13.86 1.0006   1.0010   1.0007
13.89 1.0006   1.0009   1.0006
13.92 1.0006   1.0008   1.0006
13.95 1.0005   1.0007   1.0007
13.98 1.0004   1.0007   1.0007
14.01 1.0005   1.0007   1.0007
14.04 1.0005   1.0004   1.0007
14.07 1.0004   1.0003   1.0007
14.10 1.0004   1.0003   1.0007
14.13 1.0005   1.0003   1.0007
14.16 1.0004   1.0002   1.0007
14.19 1.0004   1.0000   1.0006
14.22 1.0005   1.0000   1.0007
14.25 1.0004   0.9999   1.0006
14.28 1.0004   0.9999   1.0006
14.31 1.0003   0.9998   1.0006
14.34 1.0003   0.9997   1.0006
14.37 1.0003   0.9997   1.0005
14.40 1.0004   0.9996   1.0005
14.43 1.0003   0.9995   1.0004
14.46 1.0001   0.9996   1.0004
14.49 1.0002   0.9995   1.0004
14.52 1.0001   0.9995   1.0004
14.55 1.0001   0.9994   1.0003
14.58 1.0000   0.9995   1.0002
14.61 1.0000   0.9994   1.0001
14.64 1.0001   0.9994   1.0001
14.67 1.0001   0.9994   1.0000
14.70 1.0000   0.9994   1.0000
14.73 1.0000   0.9995   1.0000
14.76 0.9999   0.9994   0.9999
14.79 0.9998   0.9995   0.9998
14.82 0.9997   0.9994   0.9998
14.85 0.9997   0.9995   0.9997
14.88 0.9996   0.9995   0.9997
14.91 0.9996   0.9996   0.9996
14.94 0.9996   0.9995   0.9996
14.97 0.9995   0.9995   0.9995
15.00 0.9995   0.9995   0.9995
15.03 0.9993   0.9997   0.9995
15.06 0.9993   0.9996   0.9994
15.09 0.9991   0.9997   0.9995
15.12 0.9993   0.9997   0.9995
15.15 0.9993   0.9997   0.9994
15.18 0.9991   0.9997   0.9993
15.21 0.9991   0.9997   0.9994
15.24 0.9992   0.9998   0.9993
15.27 0.9992   0.9998   0.9994
15.30 0.9990   0.9998   0.9994
15.33 0.9991   0.9999   0.9994
15.36 0.9991   0.9998   0.9994
15.39 0.9991   0.9998   0.9994
15.42 0.9992   0.9999   0.9994
15.45 0.9992   0.9998   0.9994
15.48 0.9992   0.9999   0.9995
15.51 0.9990   0.9997   0.9994
15.54 0.9992   0.9998   0.9995
15.57 0.9991   0.9997   0.9994
15.60 0.9993   0.9998   0.9996
15.63 0.9993   0.9999   0.9996
15.66 0.9994   0.9997   0.9996
15.69 0.9995   0.9997   0.9996
15.72 0.9993   0.9997   0.9996
15.75 0.9994   0.9996   0.9996
15.78 0.9995   0.9997   0.9997
15.81 0.9996   0.9998   0.9997
15.84 0.9997   0.9997   0.9998
15.87 0.9995   0.9996   0.9996
15.90 0.9999   0.9998   0.9997
15.93 0.9997   0.9998   0.9997
15.96 0.9997   0.9996   0.9997
15.99 0.9998   0.9998   0.9999
16.02 0.9999   0.9997   0.9997
16.05 0.9999   0.9997   0.9998
16.08 1.0000   0.9998   0.9997
16.11 0.9999   0.9998   0.9998
16.14 1.0001   0.9998   1.0000
16.17 1.0001   0.9998   0.9999
16.20 1.0002   1.0000   0.9999
16.23 1.0001   0.9998   0.9999
16.26 0.9999   0.9998   1.0000
16.29 1.0001   0.9998   0.9999
16.32 1.0003   0.9999   1.0000
16.35 1.0002   0.9998   0.9999
16.38 1.0002   0.9999   1.0000
16.41 1.0003   1.0000   1.0001
16.44 1.0001   0.9998   0.9999
16.47 1.0002   0.9998   1.0000
16.50 1.0004   1.0001   1.0003
16.53 1.0002   0.9999   1.0001
16.56 1.0002   0.9999   1.0001
16.59 1.0002   0.9999   1.0000
16.62 1.0003   1.0000   1.0002
16.65 1.0002   0.9999   1.0001
16.68 1.0002   1.0000   1.0001
16.71 1.0004   1.0000   1.0001
16.74 1.0005   1.0000   1.0002
16.77 1.0004   1.0001   1.0002
16.80 1.0002   0.9999   1.0001
16.83 1.0003   0.9999   1.0001
16.86 1.0004   1.0000   1.0002
16.89 1.0004   1.0000   1.0002
16.92 1.0003   1.0000   1.0001
16.95 1.0004   1.0001   1.0003
16.98 1.0003   1.0001   1.0001
17.01 1.0004   1.0003   1.0002
17.04 1.0001   1.0000   1.0000
17.07 1.0002   1.0002   1.0001
17.10 1.0002   1.0001   1.0001
17.13 1.0003   1.0003   1.0002
17.16 1.0002   1.0003   1.0001
17.19 1.0000   1.0001   1.0000
17.22 1.0001   1.0005   1.0002
17.25 1.0001   1.0002   1.0001
17.28 1.0001   1.0002   1.0001
17.31 1.0003   1.0004   1.0002
17.34 1.0000   1.0002   1.0000
17.37 1.0000   1.0003   1.0001
17.40 1.0001   1.0003   1.0001
17.43 1.0000   1.0003   1.0001
17.46 0.9999   1.0002   1.0000
17.49 1.0002   1.0003   1.0002
17.52 1.0001   1.0003   1.0000
17.55 1.0001   1.0002   1.0000
17.58 1.0001   1.0003   1.0001
17.61 0.9999   1.0001   0.9999
17.64 1.0001   1.0003   1.0001
17.67 0.9999   1.0001   0.9999
17.70 1.0000   1.0002   1.0000
17.73 1.0000   1.0001   1.0000
17.76 0.9998   0.9999   0.9998
17.79 0.9998   1.0000   0.9998
17.82 1.0000   1.0000   1.0000
17.85 0.9998   1.0000   0.9999
17.88 0.9999   1.0000   0.9999
17.91 1.0001   1.0000   1.0000
17.94 0.9998   0.9999   0.9999
17.97 0.9996   0.9997   0.9997
18.00 0.9997   0.9998   0.9998
18.03 0.9998   0.9999   0.9999
18.06 0.9998   0.9998   0.9998
18.09 0.9997   0.9996   0.9996
18.12 0.9997   0.9999   0.9998
18.15 0.9998   0.9998   0.9998
18.18 0.9998   0.9997   0.9997
18.21 0.9999   0.9998   0.9997
18.24 0.9999   0.9997   0.9997
18.27 0.9998   0.9997   0.9999
18.30 0.9996   0.9995   0.9996
18.33 0.9998   0.9996   0.9997
18.36 0.9998   0.9996   0.9997
18.39 0.9997   0.9996   0.9998
18.42 1.0001   0.9997   0.9999
18.45 0.9999   0.9997   0.9998
18.48 0.9997   0.9996   0.9997
18.51 0.9997   0.9995   0.9997
18.54 0.9998   0.9997   0.9999
18.57 0.9997   0.9998   1.0001
18.60 0.9995   0.9997   0.9999
18.63 0.9996   0.9997   0.9999
18.66 0.9996   0.9996   0.9998
18.69 0.9996   0.9998   0.9999
18.72 0.9997   0.9999   1.0000
18.75 0.9997   0.9997   0.9999
18.78 0.9997   0.9998   1.0000
18.81 0.9998   0.9998   1.0001
18.84 0.9998   0.9998   1.0000
18.87 1.0001   0.9999   1.0000
18.90 0.9999   0.9998   1.0000
18.93 0.9998   0.9996   0.9999
18.96 0.9997   0.9996   0.9998
18.99 0.9998   0.9998   0.9999
19.02 0.9997   0.9997   0.9996
19.05 0.9998   0.9998   0.9998
19.08 0.9998   0.9997   1.0000
19.11 0.9998   0.9997   0.9998
19.14 0.9996   0.9997   0.9998
19.17 0.9997   0.9997   0.9997
19.20 0.9998   0.9999   0.9999
19.23 0.9999   0.9999   0.9999
19.26 0.9999   0.9999   0.9998
19.29 0.9998   1.0000   0.9999
19.32 0.9999   1.0000   1.0000
19.35 0.9999   1.0001   1.0001
19.38 0.9997   0.9999   0.9998
19.41 0.9997   1.0001   0.9999
19.44 0.9998   0.9999   0.9999
19.47 1.0000   1.0000   1.0000
19.50 0.9997   1.0000   0.9998
19.53 0.9995   1.0000   0.9999
19.56 0.9998   1.0001   0.9999
